"","V4","total"
"1","#covid19",105071147
"2","#coronavirus",41874093
"3","#covid",12402082
"4","#covid<u+30fc>19",2252353
"5","#lockdown",1882236
"6","#stayhome",1356474
"7","#corona",1213091
"8","#china",1160193
"9","#wuhan",686574
"10","#covidー19",645610
"11","#wearamask",578205
"12","#modijipostponejeeneet",394921
"13","#swamyjihelpjeeneet",358124
"14","#endsars",349939
"15","#satyagrahagainstexamsincovid",319539
"16","#coronavirusoutbreak",266085
"17","#protestagainstexamsincovid",262955
"18","#indiaunitedtopostponejeeneet",213333
"19","#postponeneetandjee",207212
"20","#trumpknew",198243
"21","#covid2019",196353
"22","#bts",187809
"23","#postponejeeandneet",153978
"24","#trump",146851
"25","#hydroxychloroquine",144827
"26","#india",137381
"27","#preveniresvencer",136661
"28","#epex",134927
"29","#wuhancoronavirus",128167
"30","#speakupforsscrailwaysstudends",125575
"31","#stopprivatisationsavegovtjob",124066
"32","#whatshappeninginmyanmar",111449
"33","#activoscontraelvirus",107547
"34","#postponesscchsl",107537
"35","#speakupforstudentsafety",106753
"36","#todoscontraelvirus",106573
"37","#sputnikvgarantizavida",102840
"38","#surakshabeforepariksha",102441
"39","#lacovidnoesjuego",102419
"40","#postponejeeneetsept",99232
"41","#trumpvirus",98434
"42","#stayathome",98153
"43","#vaccine",97186
"44","#hopetogaza",96632
"45","#cuidémonosenfamilia",94952
"46","#cancelboardexams2021",94022
"47","#ntapostponejeeneet",93751
"48","#sputnikvcontracovid",93352
"49","#unidosenprevención",92619
"50","#rgpvspreadingcoronavirus",92426
"51","#trumphascovid",91625
"52","#postponechsl2020",90916
"53","#antistudentmodigovt",90243
"54","#ripsubhasrisave30lakh",88194
"55","#cancelboardexams",85771
"56","#togetherathome",85566
"57","#lacovidnoescoba",83771
"58","#prevenireslaclave",82620
"59","#coronaoutbreak",76953
"60","#juntoscontralacovid19",76302
"61","#savejeeneetstudentspm",76121
"62","#neetjee",75354
"63","#postponeexamsorresignmodi",75133
"64","#prevenireselantídoto",74900
"65","#envenezuelanoscuidamos",73334
"66","#blood",73293
"67","#radicalescontralacovid19",73213
"68","#sopcantsavejeeneet",72604
"69","#parentsdemandpostponeneet",71834
"70","#largestvaccinedrive",71659
"71","#modijicancel12thboards",70260
"72","#safehands",69751
"73","#prevenirporlavida",67702
"74","#prevenirsalvavidas",65946
"75","#pawankalyanbirthdaycdp",62844
"76","#bioseguridadporlavida",62493
"77","#cuídatedelacovid19",62145
"78","#daleunparaoalacovid",61731
"79","#luchacontralacovid19",61532
"80","#breaking",61271
"81","#worldhealthday",60653
"82","#pltpinkmonday",60470
"83","#laprevenciónesclave",59646
"84","#modijihelpjeeneet",58748
"85","#evitaelcontagio",58524
"86","#unga",58485
"87","#scpostponejeeneet",56529
"88","#notimippci",55778
"89","#cancelboardexam2021",55229
"90","#cuidémonosdelvirus",54724
"91","#coronavirusupdate",53999
"92","#prevenciónenfamilia",53898
"93","#astrazeneca",53733
"94","#coronavir",51999
"95","#anonymous",51722
"96","#cuídatedelcovid19",50665
"97","#mannkinahistudentskibaat",50453
"98","#nomeatnocoronavirus",49524
"99","#cuidémonosdelacovid",49458
"100","#flexibilizaciónsegura",48793
"101","#musicbank",48515
"102","#semanaflexible",48435
"103","#swamyjihelpneetjeeaspirants",47422
"104","#preveniresclave",47199
"105","#antistudentnarendramodi",46930
"106","#executiveorder",46617
"107","#postponejeeneetincovid",46348
"108","#debates2020",46226
"109","#cuarentenaconsciente",46208
"110","#exigimosinsumosdecalidad",45934
"111","#juntoscontraelcovid19",45517
"112","#postponejeeneet",45371
"113","#donarplasmasalvavidas",44638
"114","#cancel12thboardexams2021",44565
"115","#chimalhuac�nbajacontagios",44265
"116","#examsincovidasuicide",44071
"117","#disciplinacolectiva",43908
"118","#polriajakpatuhiprokes",43802
"119","#endswat",43731
"120","#sabemoscomohacerlo",43577
"121","#lacovidnojuega",43575
"122","#prevenirparavivir",43166
"123","#polridonorplasma",42955
"124","#patanjali",42334
"125","#tetapdisiplin5m",42144
"126","#vpdebate",42126
"127","#worldaidsday",41924
"128","#mausehatpakaimasker",41771
"129","#speakupforstudents",41626
"130","#vacunasparalospueblos",41338
"131","#ayodukungppkm",41224
"132","#cancelexamssavestudents",41182
"133","#batallaporlasaludylavida",41020
"134","#speakupforsscraliwaystudents",40614
"135","#eidmubarak",39922
"136","#blametrump",39818
"137","#disiplinpatuhiprokes",39715
"138","#coronil",39554
"139","#graciasrusia",39227
"140","#saveboardstudents",39133
"141","#studentslivesmatter",39088
"142","#blacklivesmatter",38977
"143","#jagakesehatanjaga3m",38774
"144","#macron20h",37958
"145","#safewithtwitter",37799
"146","#fuertescontralacovid",37530
"147","#dontignore12thstudents",36518
"148","#indiaunitedtopostponeneetjee",35915
"149","#polrisukseskan3m",35789
"150","#masks",35194
"151","#preveniressalud",35024
"152","#cuarentenaradicaldisciplinada",35018
"153","#sukseskan3mbersamapolri",35016
"154","#responsabilidadydisciplina",34851
"155","#nationalunemploymentday",34812
"156","#fauciemails",34771
"157","#superbowl",34612
"158","#coronaviruspandemic",34140
"159","#sputnikvenvenezuela",34083
"160","#bienestarparaelpueblo",34063
"161","#quítalelacoronaalvirus",33997
"162","#combatealcovid19",33407
"163","#truebloodpump",33378
"164","#veto",33118
"165","#sleepingbeauty",33074
"166","#sscjawabdo",32447
"167","#cancelassamboardexams",32445
"168","#worldmentalhealthday",32412
"169","#anjuntoalpueblo",32335
"170","#covidiot",32260
"171","#venezuelaprotegida",31876
"172","#delhi",31480
"173","#pakaimaskerjagajarak",31398
"174","#baktipolriuntuknegeri",31019
"175","#postponeneetjee",30904
"176","#howwegothere",30670
"177","#radicalescontralacovid",30543
"178","#studentsdislikepmmodi",29588
"179","#ebola",29569
"180","#m�dicosenpeligro",29440
"181","#jeefailedpostponeneet",29402
"182","#disciplinaanteelcovid19",29281
"183","#lockdown2",29257
"184","#canceltsexamspromotestudents",29178
"185","#cancelapexamspromotestudents",28963
"186","#polriberbagikasih",28866
"187","#ourenhypen",28411
"188","#neet",28319
"189","#internationalwomensday",28239
"190","#standtogether",28087
"191","#myanmarisprayingforindia",28070
"192","#myanmarstandswithindia",28035
"193","#jantacurfew",27955
"194","#rrbexamdates",27891
"195","#jeemain",27799
"196","#partisipasicegahcovid19",27687
"197","#vaccineऔरmspदो",27456
"198","#protectenhypen",27248
"199","#carvativirparavivir",27075
"200","#venezuelacombatelacovid",26955
"201","#givingtuesday",26890
"202","#endpolicebrutalityinnigeranow",26827
"203","#noexammhrd",26818
"204","#justiceforcovidprisoners",26427
"205","#speakup",26274
"206","#rohitsardana",26223
"207","#polriajakjagajarak",26086
"208","#delaymdcat2020",25929
"209","#kiitkissfightscovid19",25710
"210","#hidupsehatterapkan3m",25612
"211","#hrdpostponejeeneet",25506
"212","#dukungsehatkanbangsa",25210
"213","#pmmodi50000fmgdoctors",25122
"214","#demconvention",24899
"215","#wea",24650
"216","#internationalnursesday",24614
"217","#ganemoslabatallaalcovid19",24609
"218","#noexamsincovid",24565
"219","#postponeacf",24220
"220","#macron",24108
"221","#lasaludesprimero",24095
"222","#siagalawancovid19",24043
"223","#vacunaesperanzayvida",23941
"224","#dirumahajalebihbaik",23498
"225","#flexibilizaciónparcial",23468
"226","#allesdichtmachen",23435
"227","#vamosvenciendoalcovid19",23428
"228","#unidosporlasalud",23328
"229","#iamagainstexamsincovid",23215
"230","#polriserukancucitangan",22944
"231","#abrazalavida",22845
"232","#vaksinasimelawanpandemi",22816
"233","#corruptkelly",22791
"234","#pleasepostponejeeneet",22559
"235","#mcconnellkillssickleave",22466
"236","#protecci�nysaludenmarcha",22421
"237","#treatrailwayemployeesfrontlineworker",22138
"238","#doctorsday",22061
"239","#vaksinasianggotapolri",21992
"240","#kysen",21947
"241","#rapimtnipolri2021",21884
"242","#internalassessment",21774
"243","#sigamoscuidándonos",21754
"244","#protégetedelcovid19",21719
"245","#trumpliedpeopledied",21532
"246","#oursunshinesunoo",21439
"247","#c",21423
"248","#vivanlosm�dicosdelapatria",21300
"249","#haciaunanuevaan",21241
"250","#disiplinterapkan3m",21151
"251","#justiceforandresguardado",21133
"252","#cuarentenaestricta",20978
"253","#trumpsurrendered",20943
"254","#coronavirusupdates",20902
"255","#flexibilizaciónconsciente",20896
"256","#sinovac",20819
"257","#reforzarcontralacovid19",20773
"258","#keepsafefor",20772
"259","#saynotougcguidelines",20755
"260","#sputnikvparaelpueblo",20344
"261","#hoax",20100
"262","#tetapdirumahsaja",20082
"263","#coronaravirus",19983
"264","#patuhiprotokolcovid19",19909
"265","#dontbeaspreader",19799
"266","#june4coup",19791
"267","#ourvaccineourpride",19674
"268","#worldpraisepmikpolicies",19445
"269","#wakeupmhrd",19385
"270","#cuarentenaradicalreforzada",19352
"271","#love",19117
"272","#ncov",19058
"273","#pawankalyan",19037
"274","#taatiprokeshindarikerumunan",18989
"275","#hcq",18848
"276","#polriadaptasikebiasaanbaru",18771
"277","#covid20",18610
"278","#hbdmaheshbabu",18592
"279","#nnevvy",18571
"280","#polrikawaldistribusivaksin",18531
"281","#army",18488
"282","#congresstoolkitexposed",18487
"283","#nbepostponefmge",18376
"284","#electionday",18227
"285","#donateplasmasavelives",18164
"286","#sarsmustend",18113
"287","#nobelprize",17975
"288","#wujudkepedulianpolri",17931
"289","#stopasianhate",17811
"290","#opsketupatcegahcovid19",17802
"291","#covid19mx",17682
"292","#america",17641
"293","#daleunparaoalacovid19",17628
"294","#vote",17518
"295","#longweekendtaati3m",17495
"296","#sembakopolripeduli",17453
"297","#amitshah",17153
"298","#studentsinscforjustice",17139
"299","#chinavirus",17112
"300","#komarambheem",17075
"301","#prokesuntukkitasemua",16970
"302","#polriajakpakaimasker",16963
"303","#tnipolrijaganataru",16957
"304","#carelessaku",16872
"305","#may16coup",16709
"306","#dirumahaja",16641
"307","#radicalcontralacovid19",16505
"308","#minneapolisriot",16472
"309","#deltavariant",16360
"310","#f�rmulaperfectaplan7m�s7",16206
"311","#wearmaskprotectlife",16126
"312","#cuidémonosmás",16091
"313","#descuidarseescontagiarse",15871
"314","#heels",15795
"315","#couvrefeu",15711
"316","#cancelboardexam",15709
"317","#bayern3racist",15667
"318","#thanksgiving",15647
"319","#jaganegarakita",15549
"320","#worldwar3",15526
"321","#maklumatkapolritaatprokes",15519
"322","#luchemoscontraelvirus",15478
"323","#pdmspreadingcovid",15473
"324","#leerdesbloquea",15313
"325","#cuarentenaesprevenir",15265
"326","#patuhiprokespadapilkada",15149
"327","#pakstandswithchina",15138
"328","#reconfinement",15077
"329","#hyundaix",15018
"330","#michaelbloomberg",15000
"331","#ipoh",14932
"332","#flexibilizaciónsegurayvigilada",14885
"333","#lacovid19noesjuego",14671
"334","#frenaelcontagio",14506
"335","#opinión",14447
"336","#unite2fightcorona",14383
"337","#cuidémonostodos",14139
"338","#cuarentenaradicalysegura",14081
"339","#apoyosedomex",14035
"340","#promoteallcollegestudents",14011
"341","#republican",14011
"342","#liburpanjangterapkan3m",13941
"343","#coronarvirus",13870
"344","#superjunior",13776
"345","#bingo",13724
"346","#postponeese2021",13687
"347","#envideo",13615
"348","#beirut",13537
"349","#nationallockdown",13521
"350","#juventudconcienteysolidaria",13519
"351","#diputadosporlapatria",13481
"352","#ajithfansawarenessforcovid",13401
"353","#reducemedicosfees",13352
"354","#themoreyouknow",13309
"355","#indonesiamaju",13257
"356","#hearthevoiceofmyanmar",13177
"357","#coronaupdate",13028
"358","#congresstoolkit",12806
"359","#retweet",12802
"360","#cancelclass12thboardexams2021",12770
"361","#taatprokessaatpilkada",12752
"362","#coronalockdown",12728
"363","#mutation",12686
"364","#may27coup",12588
"365","#missguidedcybermon",12411
"366","#paris",12176
"367","#covid19pandemic",11957
"368","#pfizer",11942
"369","#ppkmcegahpandemi",11911
"370","#cov",11865
"371","#christmas",11854
"372","#saludalserviciodelpueblo",11704
"373","#coronarivus",11648
"374","#hongkong",11409
"375","#russianvaccine",11363
"376","#thingangyun",11282
"377","#worldchildrensday",11279
"378","#txts",11230
"379","#cancelexamssavelives",11156
"380","#protegetusalud",11129
"381","#pandemic",10816
"382","#promoteupdeledयोगीमोदीजी",10750
"383","#fox35",10659
"384","#respectourvotes",10525
"385","#coronavaccine",10496
"386","#solidaridadycooperación",10449
"387","#semanaradicalconsciente",10375
"388","#antrabajaconelpueblo",10283
"389","#graciasportulucha",10192
"390","#venezuelaunidayenpaz",10053
"391","#crookedkelly",9880
"392","#alianzadelospueblos",9853
"393","#solobrathukesobetter",9711
"394","#combateprevenciónycontrol",9575
"395","#humanrightsday",9542
"396","#vaksin",9529
"397","#rapimpolri2021",9497
"398","#happynewyear2021",9402
"399","#mco3",9267
"400","#happynewyear",9244
"401","#malaysialockdown",9176
"402","#tundabalikkejakarta",9029
"403","#americanrescueplan",9002
"404","#sputnikvparalavida",8960
"405","#happyrakshabandhan",8887
"406","#rassismusbeibayern3",8588
"407","#merrychristmas",8348
"408","#navidadenfamilia",8229
"409","#iran",7784
"410","#coronarovirus",7610
"411","#cancelallboardexams",7569
"412","#mask",7313
"413","#wuhanpneumonia",7294
"414","#coronavirusitalia",7276
"415","#coronvirus",7154
"416","#dreamfanart",7144
"417","#léa",6823
"418","#coronapocalypse",6773
"419","#coronavirius",6691
"420","#italy",6037
"421","#coronaviruschina",5761
"422","#letsbeatcoronatogether",5691
"423","#liwenliang",5616
"424","#deathsantis",5306
"425","#covidiots",5277
"426","#equalityforturkishstudents",3860
"427","#maralago",2925
"428","#reconciliaciónnacional",2889
"429","#covid19italia",1141
