Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1374224385603555330,delhiairport,7,19,ORG,0.8972
1374224385603555330,rt-pcr,148,154,ORG,0.9143
1374224385603555330,delhi,194,199,LOC,0.9808
1374224386480336897,koshechka,1,10,LOC,0.5348
1374224386744549376,us,0,4,LOC,0.987
1374224386870362112,picanto,61,68,ORG,0.7019
1374224387092721666,asia-pacific,127,139,LOC,0.4462
1374224387126173698,spain,1,6,LOC,0.9998
1374224387390509056,ospital,0,7,ORG,0.8635
1374224387390509056,tondo,11,16,LOC,0.9929
1374224387390509056,manila,20,26,LOC,1.0
1374224388141191168,singapore,85,94,LOC,1.0
1374224388568977409,illinois elementary school association,4,42,ORG,0.9787
1374224388602658816,chinacovid19tracker,9,28,ORG,0.4537
1374224388602658816,hungary,30,37,LOC,0.9998
1374224388602658816,china,86,91,LOC,1.0
1374224388602658816,sinopharm,94,103,MISC,0.8064
1374224388602658816,11m,105,109,MISC,0.6736
1374224388602658816,cansino,183,190,ORG,0.9877
1374224388602658816,hungary,205,212,LOC,1.0
1374224388602658816,cansino,214,221,ORG,0.9986
1374224388602658816,mexico,239,245,LOC,1.0
1374224388833251330,trips waiver,116,128,MISC,0.8202
1374224388833251330,euco,223,227,ORG,0.9998
1374224388959039489,anurag poddar,125,138,PER,0.9898
1374224390825598977,centers for disease control and prevention,180,222,ORG,0.987
1374224390968250370,hacker news,18,29,MISC,0.7522
1374224390968250370,wuhan,39,44,LOC,0.9994
1374224392931012608,biden,15,20,PER,1.0
1374224393690177536,neda,38,42,ORG,0.569
1374224394306920449,hawaii tourism authority,36,60,ORG,0.9972
1374224394432749571,corona,19,25,PER,0.8928
1374224394432749571,lorna,101,106,PER,0.9999
1374224394789269507,microsoft corp,37,51,ORG,0.9945
1374224394789269507,redmond,129,136,LOC,0.9993
1374224395133091840,merkel,30,36,PER,1.0
1374224395133091840,british,53,60,MISC,0.9996
1374224395527405568,laxmi organic industries,72,96,ORG,0.996
1374224397054005248,anildeshmukhncp,35,50,ORG,0.9082
1374224397054005248,nagpur,66,72,LOC,0.999
1374224397695815683,fox news,28,36,ORG,0.9162
1374224397695815683,us,37,41,LOC,0.8112
1374224397695815683,jerry nadler,54,66,PER,0.9998
1374224397695815683,china,103,108,LOC,1.0
1374224398673047552,ethrworld servicenow,103,123,ORG,0.6917
1374224399163854849,jeffery,121,128,PER,0.9959
1374224399277121538,zoom,88,92,MISC,0.6476
1374224399365193730,thailand,48,56,LOC,0.9999
1374224399742738434,biden,18,23,PER,1.0
1374224399809736708,vico,20,24,PER,0.9997
1374224399809736708,sotto,60,65,PER,0.9826
1374224400858324992,doh,29,32,ORG,0.9834
1374224401441423365,beijing,0,7,LOC,1.0
1374224401441423365,covid-19,22,30,MISC,0.9501
1374224401441423365,china,43,48,LOC,1.0
1374224401441423365,xinhua,78,84,ORG,0.9994
1374224401441423365,mi feng,114,121,PER,0.9931
1374224401588191232,cdc,4,7,ORG,1.0
1374224401940549632,angela merkel,0,13,PER,0.9997
1374224401940549632,eu,20,22,ORG,1.0
1374224401940549632,astrazeneca,34,45,ORG,0.9923
1374224402938695680,igdtuw,66,72,ORG,0.9967
1374224403253190656,bitdefender vpn,0,15,ORG,0.835
1374224404037701632,johnson,35,42,PER,0.9964
1374224404251430915,rollins college,0,15,ORG,0.9513
1374224404687642627,germany,42,49,LOC,0.9999
1374224404687642627,easter,70,76,MISC,0.7432
1374224404687642627,merkel,133,139,PER,0.9999
