"","Year","Month","Day","Text","Count"
"1",2020,1,29,"british airways",14527
"2",2020,1,29,"cdc",12044
"3",2020,1,29,"huawei",6192
"4",2020,1,29,"super junior",4573
"5",2020,1,29,"senate",4303
"6",2020,2,29,"cdc",85263
"7",2020,2,29,"trump",21850
"8",2020,2,29,"cnn",10748
"9",2020,2,29,"fox news",10374
"10",2020,2,29,"bts",9398
"11",2020,4,1,"nhs",9538
"12",2020,4,1,"cnn",7716
"13",2020,4,1,"trump",7559
"14",2020,4,1,"cdc",6332
"15",2020,4,1,"pentagon",4270
"16",2020,4,2,"trump",11182
"17",2020,4,2,"secret service",10620
"18",2020,4,2,"nhs",9610
"19",2020,4,2,"cdc",6863
"20",2020,4,2,"cnn",6417
"21",2020,4,3,"nhs",10589
"22",2020,4,3,"trump",9991
"23",2020,4,3,"cnn",7962
"24",2020,4,3,"navy",7101
"25",2020,4,3,"cdc",6566
"26",2020,4,4,"cdc",13678
"27",2020,4,4,"trump",9072
"28",2020,4,4,"nhs",6441
"29",2020,4,4,"cnn",6071
"30",2020,4,4,"govnedlamont",6059
"31",2020,4,5,"trump",15417
"32",2020,4,5,"cdc",12306
"33",2020,4,5,"nhs",10813
"34",2020,4,5,"fox news",7284
"35",2020,4,5,"icu",6317
"36",2020,4,6,"trump",12348
"37",2020,4,6,"icu",9943
"38",2020,4,6,"cdc",7948
"39",2020,4,6,"nhs",7930
"40",2020,4,6,"washington post",6950
"41",2020,4,7,"trump",9344
"42",2020,4,7,"congress",8560
"43",2020,4,7,"ministry of magic",7836
"44",2020,4,7,"cdc",6696
"45",2020,4,7,"nhs",6326
"46",2020,4,8,"eu",8805
"47",2020,4,8,"cdc",7918
"48",2020,4,8,"world health organization",6219
"49",2020,4,8,"llc",6043
"50",2020,4,8,"trump",5277
"51",2020,4,9,"cdc",10462
"52",2020,4,9,"cnn",8703
"53",2020,4,9,"senate",7962
"54",2020,4,9,"nhs",6735
"55",2020,4,9,"fox news",5317
"56",2020,4,10,"cdc",11440
"57",2020,4,10,"nhs",10610
"58",2020,4,10,"cnn",10588
"59",2020,4,10,"trump",6842
"60",2020,4,10,"world health organization",5863
"61",2020,4,11,"nhs",12282
"62",2020,4,11,"ppe",7027
"63",2020,4,11,"cdc",5944
"64",2020,4,11,"cnn",5323
"65",2020,4,11,"apple",5098
