"","Year","Month","Text","Count"
"1",2020,1,"china",359290
"2",2020,1,"wuhan",119805
"3",2020,1,"us",45592
"4",2020,1,"australia",22723
"5",2020,1,"hong kong",13826
"6",2020,2,"china",242483
"7",2020,2,"us",172415
"8",2020,2,"corona",63641
"9",2020,2,"washington",59039
"10",2020,2,"iran",54732
"11",2020,4,"china",2319572
"12",2020,4,"us",1673104
"13",2020,4,"uk",706533
"14",2020,4,"india",692358
"15",2020,4,"america",317959
"16",2020,5,"us",2051391
"17",2020,5,"china",2026505
"18",2020,5,"uk",1072848
"19",2020,5,"india",583005
"20",2020,5,"america",577640
"21",2020,6,"us",2376044
"22",2020,6,"china",1165885
"23",2020,6,"florida",853885
"24",2020,6,"uk",712009
"25",2020,6,"america",643712
"26",2020,7,"us",2998747
"27",2020,7,"florida",1577638
"28",2020,7,"china",1488617
"29",2020,7,"america",861635
"30",2020,7,"india",377676
"31",2020,8,"us",2129594
"32",2020,8,"india",1404169
"33",2020,8,"china",1176920
"34",2020,8,"america",1110660
"35",2020,8,"uk",418744
"36",2020,9,"us",1943081
"37",2020,9,"china",1286834
"38",2020,9,"america",983497
"39",2020,9,"india",705493
"40",2020,9,"uk",695997
"41",2020,10,"white house",2140874
"42",2020,10,"us",2100790
"43",2020,10,"china",1386888
"44",2020,10,"america",868049
"45",2020,10,"uk",460658
"46",2020,11,"us",1885711
"47",2020,11,"america",1069777
"48",2020,11,"china",809266
"49",2020,11,"uk",768550
"50",2020,11,"white house",274045
"51",2020,12,"us",1877911
"52",2020,12,"uk",1530492
"53",2020,12,"china",1279051
"54",2020,12,"america",548852
"55",2020,12,"florida",323800
"56",2021,1,"uk",1995941
"57",2021,1,"us",1383227
"58",2021,1,"china",945947
"59",2021,1,"india",680436
"60",2021,1,"capitol",267262
"61",2021,2,"us",1116373
"62",2021,2,"uk",1057342
"63",2021,2,"china",478698
"64",2021,2,"india",354464
"65",2021,2,"texas",287745
"66",2021,3,"us",1186916
"67",2021,3,"uk",953275
"68",2021,3,"texas",810592
"69",2021,3,"china",482289
"70",2021,3,"india",366396
