"","Year","Month","Text","Count"
"1",2020,1,"trump",17138
"2",2020,1,"ivanka trump",4250
"3",2020,1,"god",3649
"4",2020,1,"charles lieber",2898
"5",2020,1,"obama",2816
"6",2020,2,"trump",305605
"7",2020,2,"mike pence",25703
"8",2020,2,"lewis",23978
"9",2020,2,"donald trump",16482
"10",2020,2,"anthony fauci",14583
"11",2020,4,"trump",2278646
"12",2020,4,"god",254286
"13",2020,4,"fauci",230113
"14",2020,4,"donald trump",195212
"15",2020,4,"boris johnson",131069
"16",2020,5,"trump",2539714
"17",2020,5,"donald trump",437815
"18",2020,5,"fauci",304305
"19",2020,5,"obama",220997
"20",2020,5,"cummings",215202
"21",2020,6,"trump",3274081
"22",2020,6,"donald trump",351541
"23",2020,6,"fauci",252870
"24",2020,6,"covid",175547
"25",2020,6,"biden",153052
"26",2020,7,"trump",3738428
"27",2020,7,"fauci",983558
"28",2020,7,"covid",387388
"29",2020,7,"donald trump",267463
"30",2020,7,"herman cain",241992
"31",2020,8,"trump",3330546
"32",2020,8,"donald trump",505542
"33",2020,8,"biden",448651
"34",2020,8,"covid",426857
"35",2020,8,"fauci",299468
"36",2020,9,"trump",5153423
"37",2020,9,"biden",1032435
"38",2020,9,"covid",928820
"39",2020,9,"donald trump",461006
"40",2020,9,"joe biden",280367
"41",2020,10,"trump",9527838
"42",2020,10,"biden",1645518
"43",2020,10,"covid",1610522
"44",2020,10,"donald trump",1466865
"45",2020,10,"joe biden",641068
"46",2020,11,"trump",2927141
"47",2020,11,"biden",1792188
"48",2020,11,"covid",1087385
"49",2020,11,"joe biden",482948
"50",2020,11,"fauci",234958
"51",2020,12,"trump",1916456
"52",2020,12,"covid",729773
"53",2020,12,"biden",419938
"54",2020,12,"mitch mcconnell",198578
"55",2020,12,"rudy giuliani",144556
"56",2021,1,"biden",1815328
"57",2021,1,"trump",1225612
"58",2021,1,"covid",961047
"59",2021,1,"joe biden",444418
"60",2021,1,"boris johnson",185577
"61",2021,2,"biden",1394302
"62",2021,2,"trump",533229
"63",2021,2,"covid",438261
"64",2021,2,"cuomo",184072
"65",2021,2,"joe biden",114615
"66",2021,3,"biden",1647250
"67",2021,3,"trump",754823
"68",2021,3,"covid",590312
"69",2021,3,"joe biden",148859
"70",2021,3,"fauci",138738
