Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1366886032122277888,twitter,0,7,ORG,0.9996
1366886032185131020,soyreferee,4,14,ORG,0.976
1366886032185131020,rey,31,34,PER,0.9993
1366886032185131020,pelé,52,56,PER,0.9999
1366886032185131020,covid-19,85,93,MISC,0.9999
1366886033648943108,covid-19,25,33,MISC,0.9998
1366886033648943108,drdanielgollan,242,256,ORG,0.6974
1366886033648943108,saludbap,258,266,ORG,0.9514
1366886033732734979,gobierno,28,36,ORG,0.9986
1366886033732734979,claudiashein,39,51,PER,0.6972
1366886033732734979,covid19,116,123,MISC,0.9999
1366886033732734979,xochimilco,234,244,LOC,1.0
1366886033732734979,el universal,251,263,ORG,0.9999
1366886033963380748,covid-19,33,41,MISC,0.9999
1366886033963380748,palaciohierro,85,98,ORG,0.9995
1366886034001305604,covid19,58,65,MISC,0.9999
1366886034051637250,querétaro,0,9,LOC,1.0
1366886034051637250,unidad especial anti-covid-19,40,69,MISC,0.9866
1366886034051637250,lainformacionquenosune,150,172,MISC,0.9978
1366886034064162816,grande lashley,0,14,MISC,0.9995
1366886034173214721,coordenadajalisco,0,17,MISC,0.9589
1366886034173214721,covid-19,69,77,MISC,0.9999
1366886034173214721,atemi yeudiel,221,234,PER,0.9999
1366886034173214721,periodismosonoro,236,252,MISC,0.927
1366886034307432452,méxico,15,21,LOC,1.0
1366886034307432452,pfizer,56,62,MISC,0.7325
1366886034307432452,amlo,150,154,MISC,0.5968
1366886034315743233,cumplílasnormas,0,15,MISC,0.9939
1366886034336849924,"""semáforo de la prevención""",25,52,MISC,0.9999
1366886034336849924,vacunaesperanzayvida,149,169,MISC,0.9997
1366886034471010305,sandovalera,21,32,PER,0.9999
1366886034471010305,clásico manuel fonseca arroyal,55,85,MISC,0.9999
1366886034471010305,ajmedinam,197,206,ORG,0.8921
1366886034517073922,covid,104,109,MISC,0.9048
1366886034517073922,cuidémonosentretodos,250,270,MISC,0.9965
1366886034550579201,covid19,15,22,MISC,0.9999
1366886034550579201,méxico,37,43,LOC,0.9999
1366886034588520449,amlo,51,55,PER,0.9999
1366886034588520449,lópez obrador,71,84,PER,0.9998
1366886034588520449,méxico,99,105,LOC,0.9999
1366886034588520449,covid-19,195,203,MISC,0.9999
1366886034651426823,osc,10,13,ORG,0.9316
1366886034651426823,pulso osc,39,48,ORG,0.9439
1366886034651426823,covid-19,151,159,MISC,0.9998
1366886034651426823,méxico,163,169,LOC,1.0
1366886034651426823,kkxii1pemp,231,241,MISC,0.9173
1366886034890387457,covid-19,65,73,MISC,0.9999
1366886037771837440,covid19,39,46,MISC,0.9999
1366886037771837440,viajaseguroconruta,156,174,MISC,0.9858
1366886037771927560,fumitep,0,7,ORG,0.9999
1366886037771927560,covid19,110,117,MISC,0.971
1366886037771927560,tepeaca salud,118,131,MISC,0.9666
1366886037939752968,saludenfamiliaycomunidad,3,27,MISC,0.9972
1366886037939752968,gobierno de nicaragua,31,52,ORG,0.9999
1366886037939752968,covid19,132,139,MISC,0.9999
1366886037939752968,hospitales cruz azul,147,167,LOC,0.9725
1366886037939752968,lenín fonseca,170,183,LOC,0.9823
1366886037939752968,managua,187,194,LOC,0.9998
1366886037939752968,rosario murillo,224,239,PER,0.9998
1366886037939752968,vicepresidenta de nicaragua,241,268,PER,0.9411
1366886038262611970,covid,42,47,MISC,0.9997
1366886038342422529,lilarosahu,4,14,PER,0.9915
1366886038342422529,fsagasti,32,40,ORG,0.9997
1366886038342422529,vbermudezv,42,52,ORG,0.9026
1366886038342422529,ougarteu,54,62,PER,0.7413
1366886038342422529,covid,132,137,MISC,0.9999
1366886038535364609,marcelo díaz,0,12,PER,0.9997
1366886038535364609,covid,29,34,PER,0.9999
1366886038535364609,supercopa argentina,51,70,MISC,0.9999
1366886038816219138,óscar almeyda,0,13,PER,0.9999
1366886038816219138,matías almeyda,57,71,PER,1.0
1366886038816219138,covid-19,112,120,MISC,0.9999
1366886038866640900,joseescauriza,4,17,PER,0.6941
1366886038866640900,wilson podestá,29,43,PER,0.9999
1366886038866640900,ineram,65,71,LOC,0.9686
1366886038866640900,covid-19,76,84,MISC,0.9998
1366886038879232001,covid19,64,71,MISC,0.9999
1366886038879232001,méxico,75,81,LOC,1.0
1366886038879232001,planetacoronavirus,120,138,MISC,0.8544
1366886038904463360,amlo,104,108,PER,0.9998
1366886038988283911,nacional  covax,0,15,ORG,0.9998
1366886038988283911,latinoamérica,26,39,LOC,1.0
1366886038988283911,covid-19,70,78,MISC,0.9999
1366886039068016642,blogdeportivo,4,17,ORG,0.9994
1366886039068016642,pelé,49,53,PER,0.9996
1366886039068016642,covid-19,82,90,MISC,0.9998
1366886039068016642,blogdeportivo,115,128,MISC,0.9027
1366886039147667461,malenamarrtinez,4,19,PER,0.9997
1366886039147667461,covid,42,47,PER,0.9998
1366886042452848643,evayflork1,4,14,PER,0.6313
1366886042452848643,karen,41,46,PER,0.9998
1366886042452848643,lobol,99,104,PER,1.0
1366886043321065472,españa,29,35,LOC,1.0
1366886043581046784,minsaludve,4,14,ORG,0.9958
1366886043581046784,venezuela,25,34,ORG,0.9461
1366886043581046784,sinopharm,73,82,MISC,1.0
1366886043581046784,covid-19,129,137,MISC,0.9999
1366886043715313669,equipobanquemos,1,16,ORG,0.9565
1366886043715313669,che,17,20,PER,0.9925
1366886043715313669,pro,77,80,ORG,0.9977
1366886043715313669,covid 19,101,109,MISC,0.9928
1366886043715313669,caba,191,195,LOC,0.9997
1366886043715313669,macri,224,229,PER,0.9998
1366886046953267204,csic,68,72,ORG,0.9999
1366886055585153033,gerundioe,4,13,ORG,0.735
1366886055585153033,covid,78,83,MISC,0.6826
1366886055585153033,datecuentamex,85,98,MISC,0.9999
1366886055643930634,covid,90,95,MISC,0.9984
1366886056012972032,cnnee,4,9,ORG,1.0
1366886056012972032,biden,11,16,PER,0.9998
1366886056012972032,estados unidos,36,50,ORG,0.9994
1366886057162264579,blanchettlaura,4,18,PER,0.9829
1366886057162264579,inem,47,51,ORG,0.9999
1366886057162264579,ertes,53,58,ORG,0.9999
1366886060886745088,ministerio de salud,33,52,ORG,0.9999
1366886060886745088,eeuu,123,127,LOC,0.9999
1366886061130022917,bebanegra,4,13,ORG,0.9997
1366886061130022917,vacunaesperanzayvida,44,64,MISC,0.9945
1366886061130022917,venezuela,66,75,LOC,0.992
1366886061130022917,covid-19,121,129,MISC,0.9998
1366886064019935235,covid19,29,36,MISC,0.9999
1366886064019935235,américa latina,82,96,LOC,0.9999
1366886064019935235,clasemedia,168,178,MISC,0.9976
1366886064561025026,nicolasmaduro,4,17,PER,0.9978
1366886064561025026,venezuela,82,91,LOC,1.0
1366886064561025026,covid-19,127,135,MISC,0.9999
1366886064590323716,mippcivzla,4,14,ORG,0.9988
1366886064590323716,notimippci,16,26,MISC,0.8329
1366886064590323716,venezuela,32,41,LOC,0.9999
1366886064590323716,covid-19,105,113,MISC,0.9998
1366886064665804810,coronelmuni,4,15,PER,0.9961
1366886064665804810,covid-19,40,48,MISC,0.9999
1366886064665804810,coronel,52,59,MISC,0.9883
1366886064665804810,coronelsequedaencasa,90,110,MISC,0.9898
1366886067513798658,exitosape,4,13,ORG,0.9985
1366886067513798658,jim mamani,44,54,PER,0.9999
1366886067513798658,francisco sagasti,81,98,PER,0.9999
1366886067513798658,ejecutivo,123,132,ORG,0.9999
1366886067522187265,twitterseguro,4,17,ORG,0.8979
1366886067522187265,tweets,50,56,MISC,0.9845
1366886071901057030,bogotamuyfirme,4,18,PER,0.9884
1366886071901057030,covid-19,109,117,MISC,0.9999
1366886071901057030,se,137,139,ORG,0.9995
1366886072190402563,casa blanca,3,14,ORG,0.9998
1366886072190402563,estados unidos,16,30,ORG,0.9999
1366886072190402563,covid19,67,74,MISC,0.9999
1366886072190402563,mexico,80,86,ORG,0.9869
1366886072425283587,covid19,51,58,MISC,0.9999
1366886072450486279,covid-19,48,56,MISC,0.9999
1366886072450486279,yerbateros,75,85,LOC,0.9998
1366886072714723329,guidoarmaando,4,17,ORG,0.4181
1366886072790241280,covid-19,13,21,MISC,0.9997
1366886072790241280,dea,67,70,ORG,0.999
1366886072790241280,dea,73,76,ORG,0.9939
1366886072790241280,cártelesdeladroga,77,94,MISC,0.9545
1366886073616523264,conelmazodando,4,18,ORG,0.794
1366886073616523264,oms,20,23,ORG,0.9998
1366886073616523264,covid-19,51,59,MISC,0.9998
1366886073616523264,nopasaronnipasaran,111,129,MISC,0.8805
1366886077387128833,brasil,0,6,LOC,1.0
1366886077387128833,latam airlines,32,46,ORG,0.9999
1366886077387128833,covid-19,135,143,MISC,0.9999
1366886077445926914,javier_alarcon,4,18,PER,0.9999
1366886077445926914,covid,92,97,MISC,0.9991
1366886077445926914,méxico,101,107,LOC,0.9999
1366886077445926914,alarcónstradamus,109,125,PER,0.7122
1366886078188167168,vtvcanal8,4,13,ORG,0.981
1366886078188167168,consejo político,15,31,ORG,0.9102
1366886078188167168,alba-tcp,36,44,ORG,0.7606
1366886078188167168,eeuu,98,103,ORG,0.9997
1366886080331583489,malenamarrtinez,4,19,PER,0.9997
