"","Year","Month","Day","Text","Count"
"1",2020,2,12,"china",19799
"2",2020,2,12,"méxico",9579
"3",2020,2,12,"sofia",7508
"4",2020,2,12,"wuhan",6840
"5",2020,2,12,"barcelona",3383
"6",2020,2,28,"méxico",21661
"7",2020,2,28,"china",5205
"8",2020,2,28,"españa",2718
"9",2020,2,28,"italia",2438
"10",2020,2,28,"cdmx",1722
"11",2020,2,29,"méxico",14175
"12",2020,2,29,"ecuador",5847
"13",2020,2,29,"china",4832
"14",2020,2,29,"españa",2695
"15",2020,2,29,"italia",2329
"16",2020,4,1,"ecuador",14867
"17",2020,4,1,"guayaquil",6441
"18",2020,4,1,"españa",5649
"19",2020,4,1,"china",5455
"20",2020,4,1,"eeuu",4603
"21",2020,4,2,"ecuador",11994
"22",2020,4,2,"españa",9968
"23",2020,4,2,"guayaquil",7838
"24",2020,4,2,"venezuela",7749
"25",2020,4,2,"china",5939
"26",2020,4,3,"españa",10913
"27",2020,4,3,"venezuela",6895
"28",2020,4,3,"ecuador",6160
"29",2020,4,3,"china",5463
"30",2020,4,3,"eeuu",5327
"31",2020,4,4,"españa",13149
"32",2020,4,4,"venezuela",9874
"33",2020,4,4,"china",6665
"34",2020,4,4,"méxico",6584
"35",2020,4,4,"ecuador",6473
"36",2020,4,5,"españa",10660
"37",2020,4,5,"ecuador",7080
"38",2020,4,5,"venezuela",6942
"39",2020,4,5,"colombia",6370
"40",2020,4,5,"china",6101
"41",2020,4,6,"españa",11829
"42",2020,4,6,"venezuela",6958
"43",2020,4,6,"colombia",6192
"44",2020,4,6,"méxico",6171
"45",2020,4,6,"ecuador",5722
"46",2020,4,7,"méxico",10138
"47",2020,4,7,"españa",8474
"48",2020,4,7,"china",8198
"49",2020,4,7,"venezuela",6052
"50",2020,4,7,"colombia",5353
"51",2020,4,8,"méxico",7310
"52",2020,4,8,"españa",6760
"53",2020,4,8,"china",4536
"54",2020,4,8,"colombia",4217
"55",2020,4,8,"venezuela",3931
"56",2020,4,9,"españa",6866
"57",2020,4,9,"venezuela",6021
"58",2020,4,9,"méxico",6019
"59",2020,4,9,"colombia",4413
"60",2020,4,9,"china",3614
"61",2020,4,10,"españa",14599
"62",2020,4,10,"venezuela",7554
"63",2020,4,10,"nueva york",6332
"64",2020,4,10,"eeuu",6219
"65",2020,4,10,"china",5588
"66",2020,4,11,"españa",9634
"67",2020,4,11,"china",8811
"68",2020,4,11,"eeuu",7559
"69",2020,4,11,"venezuela",6962
"70",2020,4,11,"méxico",5860
"71",2020,4,12,"venezuela",11637
"72",2020,4,12,"españa",8503
"73",2020,4,12,"china",7743
"74",2020,4,12,"colombia",7286
"75",2020,4,12,"méxico",5922
"76",2020,4,14,"españa",8716
"77",2020,4,14,"méxico",8319
"78",2020,4,14,"venezuela",6820
"79",2020,4,14,"china",6724
"80",2020,4,14,"colombia",4826
"81",2020,4,15,"venezuela",7926
"82",2020,4,15,"españa",7885
"83",2020,4,15,"eeuu",6907
"84",2020,4,15,"méxico",6885
"85",2020,4,15,"china",6858
"86",2020,4,16,"méxico",7933
"87",2020,4,16,"españa",7239
"88",2020,4,16,"china",6480
"89",2020,4,16,"venezuela",6204
"90",2020,4,16,"colombia",5226
"91",2020,4,17,"venezuela",8526
"92",2020,4,17,"china",7818
"93",2020,4,17,"españa",7808
"94",2020,4,17,"méxico",5815
"95",2020,4,17,"wuhan",5516
"96",2020,4,18,"españa",8786
"97",2020,4,18,"méxico",5276
"98",2020,4,18,"venezuela",4283
"99",2020,4,18,"wuhan",3856
"100",2020,4,18,"eeuu",3419
"101",2020,4,19,"españa",9195
"102",2020,4,19,"eeuu",7283
"103",2020,4,19,"china",6687
"104",2020,4,19,"venezuela",6528
