"","Year","Month","Day","Text","Count"
"1",2020,2,12,"coronavirus",16068
"2",2020,2,12,"covid-19",2686
"3",2020,2,12,"mobile world congress",2576
"4",2020,2,12,"covid19",1529
"5",2020,2,12,"mwc",1474
"6",2020,2,28,"coronavirus",31724
"7",2020,2,28,"covid-19",4290
"8",2020,2,28,"ibuprofeno",3836
"9",2020,2,28,"covid19",1876
"10",2020,2,28,"covid2019",1776
"11",2020,2,29,"coronavirus",26820
"12",2020,2,29,"covid-19",3974
"13",2020,2,29,"ibuprofeno",3137
"14",2020,2,29,"covid19",2418
"15",2020,2,29,"vih",2014
"16",2020,4,1,"covid-19",38107
"17",2020,4,1,"coronavirus",19138
"18",2020,4,1,"covid19",15637
"19",2020,4,1,"covid",7273
"20",2020,4,1,"covidー19",5543
"21",2020,4,2,"covid-19",53663
"22",2020,4,2,"coronavirus",28423
"23",2020,4,2,"covid19",17015
"24",2020,4,2,"covid",10849
"25",2020,4,2,"covidー19",6265
"26",2020,4,3,"covid-19",55946
"27",2020,4,3,"coronavirus",29220
"28",2020,4,3,"covid19",17601
"29",2020,4,3,"covid",11847
"30",2020,4,3,"covidー19",4684
"31",2020,4,4,"covid-19",62088
"32",2020,4,4,"coronavirus",28756
"33",2020,4,4,"covid19",18154
"34",2020,4,4,"covid",14475
"35",2020,4,4,"covidー19",2848
"36",2020,4,5,"covid-19",58261
"37",2020,4,5,"coronavirus",27670
"38",2020,4,5,"covid19",17990
"39",2020,4,5,"covid",12919
"40",2020,4,5,"covid 19",3544
"41",2020,4,6,"covid-19",52903
"42",2020,4,6,"coronavirus",27640
"43",2020,4,6,"covid19",19036
"44",2020,4,6,"covid",16699
"45",2020,4,6,"covid_19",6360
"46",2020,4,7,"covid-19",55052
"47",2020,4,7,"coronavirus",24492
"48",2020,4,7,"covid19",20121
"49",2020,4,7,"covid",15849
"50",2020,4,7,"covid_19",3378
"51",2020,4,8,"covid-19",36508
"52",2020,4,8,"covid19",16460
"53",2020,4,8,"coronavirus",15916
"54",2020,4,8,"covid",7287
"55",2020,4,8,"covidー19",3126
"56",2020,4,9,"covid-19",36285
"57",2020,4,9,"coronavirus",17369
"58",2020,4,9,"covid19",15945
"59",2020,4,9,"covid",8623
"60",2020,4,9,"covidー19",4680
"61",2020,4,10,"covid-19",60321
"62",2020,4,10,"coronavirus",28264
"63",2020,4,10,"covid19",17320
"64",2020,4,10,"covid",12833
"65",2020,4,10,"covidー19",6398
"66",2020,4,11,"covid-19",62926
"67",2020,4,11,"coronavirus",28392
"68",2020,4,11,"covid",24289
"69",2020,4,11,"covid19",16076
"70",2020,4,11,"covidー19",5943
"71",2020,4,12,"covid-19",65292
"72",2020,4,12,"coronavirus",33947
"73",2020,4,12,"covid",26261
"74",2020,4,12,"covid19",18649
"75",2020,4,12,"covid 19",4046
"76",2020,4,14,"covid-19",60618
"77",2020,4,14,"coronavirus",26011
"78",2020,4,14,"covid19",18493
"79",2020,4,14,"covid",16826
"80",2020,4,14,"covid 19",5092
"81",2020,4,15,"covid-19",61231
"82",2020,4,15,"coronavirus",25156
"83",2020,4,15,"covid19",19815
"84",2020,4,15,"covid",15750
"85",2020,4,15,"covid 19",3253
"86",2020,4,16,"covid-19",62046
"87",2020,4,16,"coronavirus",27174
"88",2020,4,16,"covid19",19979
"89",2020,4,16,"covid",17898
"90",2020,4,16,"covid_19",3523
"91",2020,4,17,"covid-19",53564
"92",2020,4,17,"coronavirus",24947
