"","Year","Month","Day","Text","Count"
"1",2020,2,12,"pauletta",7520
"2",2020,2,12,"pablolpez",1797
"3",2020,2,12,"tevoyacureosear",1221
"4",2020,2,12,"carlosloret",904
"5",2020,2,12,"morena",895
"6",2020,2,28,"leonor",2428
"7",2020,2,28,"amlo",2290
"8",2020,2,28,"vicks",1888
"9",2020,2,28,"kaylenzarate1",1504
"10",2020,2,28,"lopezobrador",1347
"11",2020,2,29,"eileenornot",2236
"12",2020,2,29,"rené",1630
"13",2020,2,29,"manuragaini",1595
"14",2020,2,29,"lopezobrador",1446
"15",2020,2,29,"cirogomezl",884
"16",2020,4,1,"trump",2451
"17",2020,4,1,"nicolasmaduro",2099
"18",2020,4,1,"maduro",1856
"19",2020,4,1,"alfredodelmazo",1679
"20",2020,4,1,"covid",1631
"21",2020,4,2,"trump",3411
"22",2020,4,2,"maduro",3200
"23",2020,4,2,"nicolasmaduro",2463
"24",2020,4,2,"ivanduque",2186
"25",2020,4,2,"duque",2172
"26",2020,4,3,"biancacirami",3174
"27",2020,4,3,"trump",2606
"28",2020,4,3,"duque",2528
"29",2020,4,3,"covid",2321
"30",2020,4,3,"alfredodelmazo",2026
"31",2020,4,4,"nicolasmaduro",6894
"32",2020,4,4,"lorena quaranta",6016
"33",2020,4,4,"nataliesr14",3657
"34",2020,4,4,"trump",3107
"35",2020,4,4,"amlo",3025
"36",2020,4,5,"lopezobrador",4916
"37",2020,4,5,"ivanduque",4042
"38",2020,4,5,"trump",3748
"39",2020,4,5,"nicolasmaduro",3566
"40",2020,4,5,"covid",3442
"41",2020,4,6,"boris johnson",7330
"42",2020,4,6,"covid",5055
"43",2020,4,6,"ivanduque",4852
"44",2020,4,6,"lopezobrador",3296
"45",2020,4,6,"josé",2763
"46",2020,4,7,"ivanduque",3980
"47",2020,4,7,"boris johnson",3937
"48",2020,4,7,"covid",3379
"49",2020,4,7,"trump",2912
"50",2020,4,7,"lopezobrador",2212
"51",2020,4,8,"trump",4644
"52",2020,4,8,"covid",2093
"53",2020,4,8,"lopezobrador",1733
"54",2020,4,8,"presidente",1566
"55",2020,4,8,"sánchez",1492
"56",2020,4,9,"carlosloret",3157
"57",2020,4,9,"sánchez",2592
"58",2020,4,9,"abascal",1680
"59",2020,4,9,"covid",1677
"60",2020,4,9,"trump",1560
"61",2020,4,10,"sánchez",3781
"62",2020,4,10,"urfiel",3357
"63",2020,4,10,"valentinaamm",3293
"64",2020,4,10,"idiazayuso",3104
"65",2020,4,10,"trump",2756
"66",2020,4,11,"anwar",4556
"67",2020,4,11,"farran",4519
"68",2020,4,11,"trump",3812
"69",2020,4,11,"valentinaamm",3208
"70",2020,4,11,"covid",2847
"71",2020,4,12,"nicolasmaduro",6242
"72",2020,4,12,"covid",5195
"73",2020,4,12,"maduro",4815
"74",2020,4,12,"ivette",3245
"75",2020,4,12,"trump",2737
"76",2020,4,14,"trump",4476
"77",2020,4,14,"covid",3051
"78",2020,4,14,"lopezobrador",2695
"79",2020,4,14,"drlorenzomeyer",2407
"80",2020,4,14,"rajoy",2058
"81",2020,4,15,"trump",10634
"82",2020,4,15,"covid",3131
"83",2020,4,15,"alfredodelmazo",3043
"84",2020,4,15,"sánchez",2665
"85",2020,4,15,"donald trump",2597
"86",2020,4,16,"trump",4734
"87",2020,4,16,"covid",3997
"88",2020,4,16,"luis sepúlveda",3668
"89",2020,4,16,"tsai ing-wen",2976
"90",2020,4,16,"nicolasmaduro",2918
"91",2020,4,17,"trump",4190
"92",2020,4,17,"covid",3999
"93",2020,4,17,"irene montero",3582
"94",2020,4,17,"nicolasmaduro",2431
"95",2020,4,17,"tsai ing-wen",1764
"96",2020,4,18,"covid",2783
"97",2020,4,18,"trump",2680
"98",2020,4,18,"sánchez",2493
"99",2020,4,18,"stilosa0",1881
"100",2020,4,18,"ignatiusfarray",1683
"101",2020,4,19,"trump",5722
"102",2020,4,19,"sánchez",4506
"103",2020,4,19,"covid",3992
"104",2020,4,19,"nicolasmaduro",2813
"105",2020,4,19,"stilosa0",2592
"106",2020,4,20,"covid",4243
"107",2020,4,20,"askomartin",3712
"108",2020,4,20,"trump",3131
"109",2020,4,20,"sánchez",2742
"110",2020,4,20,"fernando simón",2134
"111",2020,4,21,"leottte",900
"112",2020,4,21,"trump",854
"113",2020,4,21,"presidente",719
"114",2020,4,21,"nicolasmaduro",603
"115",2020,4,21,"mazzolenijulio",591
"116",2020,4,22,"alfredodelmazo",8677
"117",2020,4,22,"malbran",6050
"118",2020,4,22,"bill gates",4102
"119",2020,4,22,"pablo casado",3948
"120",2020,4,22,"casado",3523
"121",2020,4,23,"alfredodelmazo",8832
"122",2020,4,23,"covid",3575
"123",2020,4,23,"bill gates",1664
"124",2020,4,23,"nicolasmaduro",1582
"125",2020,4,23,"denisemaerker",1550
"126",2020,4,24,"trump",10194
"127",2020,4,24,"alfredodelmazo",5532
"128",2020,4,24,"covid",4281
"129",2020,4,24,"donald trump",3191
"130",2020,4,24,"roci",2246
"131",2020,4,25,"alfredodelmazo",10858
"132",2020,4,25,"trump",10565
"133",2020,4,25,"covid",4998
"134",2020,4,25,"donald trump",3252
"135",2020,4,25,"nicolasmaduro",2408
"136",2020,4,26,"inakodiazguerra",5687
"137",2020,4,26,"covid",5216
"138",2020,4,26,"trump",3484
"139",2020,4,26,"alfredodelmazo",2702
"140",2020,4,26,"sánchez",2529
"141",2020,4,28,"alfredodelmazo",3814
"142",2020,4,28,"trump",2595
"143",2020,4,28,"lopezobrador",1720
"144",2020,4,28,"sandoval",1688
"145",2020,4,28,"covid",1628
"146",2020,4,29,"iglesias",3490
"147",2020,4,29,"covid",2149
"148",2020,4,29,"tomascivetta",1952
"149",2020,4,29,"alfredodelmazo",1799
"150",2020,4,29,"bolsonaro",1736
"151",2020,4,30,"alfredodelmazo",4039
"152",2020,4,30,"covid",3104
"153",2020,4,30,"trump",3003
"154",2020,4,30,"iglesias",2916
"155",2020,4,30,"óscar chávez",2267
"156",2020,5,1,"trump",5617
"157",2020,5,1,"covid",2559
"158",2020,5,1,"bartlett",2463
"159",2020,5,1,"manuel bartlett",2231
"160",2020,5,1,"león manuel bartlett álvarez",2079
"161",2020,5,2,"trump",3693
"162",2020,5,2,"covid",3265
"163",2020,5,2,"bartlett",2590
"164",2020,5,2,"sanchezcastejon",2523
"165",2020,5,2,"lopezobrador",2014
"166",2020,5,3,"alfredodelmazo",6369
"167",2020,5,3,"teresa ribera",5114
"168",2020,5,3,"tonicanto1",3979
"169",2020,5,3,"covid",3759
"170",2020,5,3,"sánchez",3366
"171",2020,5,4,"alfredodelmazo",4461
"172",2020,5,4,"trump",3289
"173",2020,5,4,"covid",3214
"174",2020,5,4,"antonellamarty",3107
"175",2020,5,4,"lopezobrador",2802
"176",2020,5,5,"alfredodelmazo",13829
"177",2020,5,5,"alfonsodurazo",4914
"178",2020,5,5,"luis_r",4874
"179",2020,5,5,"secretario de seguridad",4874
"180",2020,5,5,"lopezobrador",2812
"181",2020,5,6,"covid",4156
"182",2020,5,6,"alfredodelmazo",4155
"183",2020,5,6,"abascal",3033
"184",2020,5,6,"trump",2604
"185",2020,5,6,"sánchez",2448
"186",2020,5,7,"alfredodelmazo",9345
"187",2020,5,7,"covid19",7115
"188",2020,5,7,"billy el niño",5889
"189",2020,5,7,"covid",4696
"190",2020,5,7,"sánchez",3097
"191",2020,5,8,"alfredodelmazo",7149
"192",2020,5,8,"covid",7120
"193",2020,5,8,"carlosloret",5605
"194",2020,5,8,"lopezobrador",5158
"195",2020,5,8,"fernando simón",2914
"196",2020,5,9,"covid",6412
"197",2020,5,9,"lopezobrador",4040
"198",2020,5,9,"fernando simón",3564
"199",2020,5,9,"alfredodelmazo",2818
"200",2020,5,9,"pedro sánchez",2732
"201",2020,5,10,"covid",4256
"202",2020,5,10,"pedro sánchez",3986
"203",2020,5,10,"sánchez",3208
"204",2020,5,10,"xi jinping",3022
"205",2020,5,10,"belunaser17",2718
"206",2020,5,11,"alfredodelmazo",6015
"207",2020,5,11,"idiazayuso",4576
"208",2020,5,11,"ayuso",4547
"209",2020,5,11,"covid",3831
"210",2020,5,11,"torrente",2671
"211",2020,5,12,"mariogarciaa15",5281
"212",2020,5,12,"alfredodelmazo",4596
"213",2020,5,12,"covid",3256
"214",2020,5,12,"ainhoalodemas",3211
"215",2020,5,12,"ayuso",3006
"216",2020,5,13,"alfredodelmazo",5417
"217",2020,5,13,"covid",3138
"218",2020,5,13,"nicolasmaduro",2905
"219",2020,5,13,"ayuso",2846
"220",2020,5,13,"trump",2150
"221",2020,5,14,"serranoismael",10388
"222",2020,5,14,"alfredodelmazo",3949
"223",2020,5,14,"covid",3578
"224",2020,5,14,"yoshio",3145
"225",2020,5,14,"nicolasmaduro",2965
"226",2020,5,15,"franchuarrigoni",4896
"227",2020,5,15,"nicolasmaduro",4062
"228",2020,5,15,"el_dr_ed",3795
"229",2020,5,15,"covid",3570
"230",2020,5,15,"jorge álvarez",3278
"231",2020,5,16,"covid",5276
"232",2020,5,16,"quinteros",5199
"233",2020,5,16,"kikolo777",4253
"234",2020,5,16,"sánchez",3679
"235",2020,5,16,"lopezobrador",3188
"236",2020,5,17,"covid",6748
"237",2020,5,17,"ramona",6037
"238",2020,5,17,"fernando simón",4992
"239",2020,5,17,"lopezobrador",4268
"240",2020,5,17,"paulahdezn",3365
"241",2020,5,18,"covid",4308
"242",2020,5,18,"ladypotorrev",4241
"243",2020,5,18,"ramona",3878
"244",2020,5,18,"ana rosa quintana",2974
"245",2020,5,18,"idiazayuso",2711
"246",2020,5,19,"covid",5913
"247",2020,5,19,"trump",2786
"248",2020,5,19,"carmen calvo",2600
"249",2020,5,19,"fernando simón",2364
"250",2020,5,19,"nayibbukele",2315
"251",2020,5,21,"esterrubio2",7791
"252",2020,5,21,"ana rosa quintana",6025
"253",2020,5,21,"covid",4896
"254",2020,5,21,"alfredodelmazo",2014
"255",2020,5,21,"lopezobrador",1872
"256",2020,5,22,"tinelli",4944
"257",2020,5,22,"camila",4849
"258",2020,5,22,"covid",4189
"259",2020,5,22,"themba hadebe",2829
"260",2020,5,22,"lopezobrador",1935
"261",2020,5,23,"gabrielrufian",10524
"262",2020,5,23,"ortega smith",5778
"263",2020,5,23,"themba hadebe",5562
"264",2020,5,23,"covid",5532
"265",2020,5,23,"fernando simón",4509
"266",2020,5,24,"alferdez",5297
"267",2020,5,24,"covid",4797
"268",2020,5,24,"alberto fernández",4422
"269",2020,5,24,"trump",2963
"270",2020,5,24,"juan_amorin",2902
"271",2020,5,25,"nicolasmaduro",5724
"272",2020,5,25,"covid",5121
"273",2020,5,25,"trump",2907
"274",2020,5,25,"marlaska",2693
"275",2020,5,25,"amlo",2390
"276",2020,5,26,"covid",4850
"277",2020,5,26,"lopezobrador",3304
"278",2020,5,26,"nicolasmaduro",3037
"279",2020,5,26,"diegomonkey9",2535
"280",2020,5,26,"alfredodelmazo",2227
"281",2020,5,27,"covid",4441
"282",2020,5,27,"lopezobrador",3733
"283",2020,5,27,"nicolasmaduro",3498
"284",2020,5,27,"iglesias",2309
"285",2020,5,27,"maduro",2210
"286",2020,5,28,"covid",5309
