"","Year","Month","Text","Count"
"1",2020,2,"méxico",45415
"2",2020,2,"china",29836
"3",2020,2,"sofia",7508
"4",2020,2,"wuhan",6840
"5",2020,2,"ecuador",5847
"6",2020,4,"españa",230113
"7",2020,4,"venezuela",165628
"8",2020,4,"méxico",137091
"9",2020,4,"china",105968
"10",2020,4,"eeuu",67307
"11",2020,5,"méxico",207207
"12",2020,5,"españa",192048
"13",2020,5,"venezuela",133932
"14",2020,5,"madrid",80559
"15",2020,5,"chile",73239
"16",2020,6,"méxico",355198
"17",2020,6,"venezuela",226162
"18",2020,6,"españa",218366
"19",2020,6,"chile",158183
"20",2020,6,"colombia",118377
"21",2020,7,"méxico",250217
"22",2020,7,"venezuela",217078
"23",2020,7,"españa",129552
"24",2020,7,"colombia",73527
"25",2020,7,"eeuu",40976
"26",2020,8,"venezuela",270150
"27",2020,8,"méxico",222203
"28",2020,8,"españa",203071
"29",2020,8,"argentina",96919
"30",2020,8,"madrid",79169
"31",2020,9,"madrid",292734
"32",2020,9,"venezuela",229131
"33",2020,9,"españa",222546
"34",2020,9,"méxico",141195
"35",2020,9,"argentina",78745
"36",2020,10,"españa",229322
"37",2020,10,"venezuela",201238
"38",2020,10,"madrid",175916
"39",2020,10,"méxico",150094
"40",2020,10,"argentina",82527
"41",2020,11,"méxico",211661
"42",2020,11,"venezuela",164775
"43",2020,11,"españa",124484
"44",2020,11,"argentina",40632
"45",2020,11,"china",36329
"46",2020,12,"méxico",298376
"47",2020,12,"venezuela",246720
"48",2020,12,"reino unido",191124
"49",2020,12,"españa",131718
"50",2020,12,"chile",60611
"51",2021,1,"venezuela",443763
"52",2021,1,"méxico",442512
"53",2021,1,"españa",183454
"54",2021,1,"colombia",136098
"55",2021,1,"brasil",96566
"56",2021,2,"venezuela",403539
"57",2021,2,"méxico",316780
"58",2021,2,"españa",144727
"59",2021,2,"colombia",73750
"60",2021,2,"chile",48552
"61",2021,3,"venezuela",736185
"62",2021,3,"méxico",298313
"63",2021,3,"brasil",240156
"64",2021,3,"chile",84008
"65",2021,3,"caracas",66222
