"","Year","Month","Text","Count"
"1",2020,2,"coronavirus",74612
"2",2020,2,"covid-19",10950
"3",2020,2,"ibuprofeno",6973
"4",2020,2,"covid19",5823
"5",2020,2,"mobile world congress",2576
"6",2020,4,"covid-19",1416686
"7",2020,4,"coronavirus",640087
"8",2020,4,"covid19",491877
"9",2020,4,"covid",423620
"10",2020,4,"covidー19",48288
"11",2020,5,"covid-19",1459909
"12",2020,5,"coronavirus",568792
"13",2020,5,"covid",564252
"14",2020,5,"covid19",547686
"15",2020,5,"covidー19",31638
"16",2020,6,"covid-19",2453767
"17",2020,6,"covid19",1455763
"18",2020,6,"covid",895687
"19",2020,6,"coronavirus",764568
"20",2020,6,"covid 19",48549
"21",2020,7,"covid-19",1672943
"22",2020,7,"covid19",851884
"23",2020,7,"covid",652222
"24",2020,7,"coronavirus",397044
"25",2020,7,"covidー19",45842
"26",2020,8,"covid-19",1799164
"27",2020,8,"covid19",947625
"28",2020,8,"covid",837824
"29",2020,8,"coronavirus",399595
"30",2020,8,"covidー19",29967
"31",2020,9,"covid-19",1569777
"32",2020,9,"covid19",915478
"33",2020,9,"covid",788032
"34",2020,9,"coronavirus",388307
"35",2020,9,"pcr",38866
"36",2020,10,"covid-19",1279739
"37",2020,10,"covid19",781673
"38",2020,10,"covid",680860
"39",2020,10,"coronavirus",340673
"40",2020,10,"venezuelavenciendoalcovid19",19153
"41",2020,11,"covid-19",1273514
"42",2020,11,"covid",751340
"43",2020,11,"covid19",742856
"44",2020,11,"coronavirus",291165
"45",2020,11,"ganemoslabatallaalcovid19",33403
"46",2020,12,"covid-19",1989469
"47",2020,12,"covid",1180302
"48",2020,12,"covid19",1014225
"49",2020,12,"coronavirus",468970
"50",2020,12,"cuídatedelcovid19",50418
"51",2021,1,"covid-19",2915609
"52",2021,1,"covid",1751451
"53",2021,1,"covid19",1517001
"54",2021,1,"coronavirus",560786
"55",2021,1,"combatealcovid19",51619
"56",2021,2,"covid-19",2029824
"57",2021,2,"covid19",1119916
"58",2021,2,"covid",1093480
"59",2021,2,"coronavirus",347430
"60",2021,2,"sputnik v",31862
"61",2021,3,"covid-19",3006486
"62",2021,3,"covid19",1808123
"63",2021,3,"covid",1548849
"64",2021,3,"coronavirus",487073
"65",2021,3,"activoscontraelvirus",71026
